userId,movieId,rating,timestamp,event_value
1,1,4.0,964982703,rating
1,3,4.0,964981247,rating
1,6,4.0,964982224,rating
1,47,5.0,964983815,rating
1,50,5.0,964982931,rating
1,70,3.0,964982400,rating
1,101,5.0,964980868,rating
1,110,4.0,964982176,rating
1,151,5.0,964984041,rating
1,157,5.0,964984100,rating
1,163,5.0,964983650,rating
1,216,5.0,964981208,rating
1,223,3.0,964980985,rating
1,231,5.0,964981179,rating
1,235,4.0,964980908,rating
1,260,5.0,964981680,rating
1,296,3.0,964982967,rating
1,316,3.0,964982310,rating
1,333,5.0,964981179,rating
1,349,4.0,964982563,rating
1,356,4.0,964980962,rating
1,362,5.0,964982588,rating
1,367,4.0,964981710,rating
1,423,3.0,964982363,rating
1,441,4.0,964980868,rating
1,457,5.0,964981909,rating
1,480,4.0,964982346,rating
1,500,3.0,964981208,rating
1,527,5.0,964984002,rating
1,543,4.0,964981179,rating
1,552,4.0,964982653,rating
1,553,5.0,964984153,rating
1,590,4.0,964982546,rating
1,592,4.0,964982271,rating
1,593,4.0,964983793,rating
1,596,5.0,964982838,rating
1,608,5.0,964982931,rating
1,648,3.0,964982563,rating
1,661,5.0,964982838,rating
1,673,3.0,964981775,rating
1,733,4.0,964982400,rating
1,736,3.0,964982653,rating
1,780,3.0,964984086,rating
1,804,4.0,964980499,rating
1,919,5.0,964982475,rating
1,923,5.0,964981529,rating
1,940,5.0,964982176,rating
1,943,4.0,964983614,rating
1,954,5.0,964983219,rating
1,1009,3.0,964981775,rating
1,1023,5.0,964982681,rating
1,1024,5.0,964982876,rating
1,1025,5.0,964982791,rating
1,1029,5.0,964982855,rating
1,1030,3.0,964982903,rating
1,1031,5.0,964982653,rating
1,1032,5.0,964982791,rating
1,1042,4.0,964981179,rating
1,1049,5.0,964982400,rating
1,1060,4.0,964980924,rating
1,1073,5.0,964981680,rating
1,1080,5.0,964981327,rating
1,1089,5.0,964982951,rating
1,1090,4.0,964984018,rating
1,1092,5.0,964983484,rating
1,1097,5.0,964981680,rating
1,1127,4.0,964982513,rating
1,1136,5.0,964981327,rating
1,1196,5.0,964981827,rating
1,1197,5.0,964981872,rating
1,1198,5.0,964981827,rating
1,1206,5.0,964983737,rating
1,1208,4.0,964983250,rating
1,1210,5.0,964980499,rating
1,1213,5.0,964982951,rating
1,1214,4.0,964981855,rating
1,1219,2.0,964983393,rating
1,1220,5.0,964981909,rating
1,1222,5.0,964981909,rating
1,1224,5.0,964984018,rating
1,1226,5.0,964983618,rating
1,1240,5.0,964983723,rating
1,1256,5.0,964981442,rating
1,1258,3.0,964983414,rating
1,1265,4.0,964983599,rating
1,1270,5.0,964983705,rating
1,1275,5.0,964982290,rating
1,1278,5.0,964983414,rating
1,1282,5.0,964982703,rating
